Counter,Daily Active Users
0,2
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,1
10,1
11,1
12,1
13,1
14,1
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,12
37,12
38,12
39,12
40,12
41,12
42,12
43,18
44,18
45,18
46,18
47,18
48,18
49,18
50,25
51,25
52,25
53,25
54,25
55,25
56,25
57,32
58,32
59,32
60,32
61,32
62,32
63,32
64,34
65,34
66,34
67,34
68,34
69,34
70,34
71,39
72,39
73,39
74,39
75,39
76,39
77,39
78,41
79,41
80,41
81,41
82,41
83,41
84,41
85,177
86,177
87,177
88,177
89,177
90,177
91,177
92,185
93,185
94,185
95,185
96,185
97,185
98,185
99,188
100,188
101,188
102,188
103,188
104,188
105,188
106,215
107,215
108,215
109,215
110,215
111,214
112,214
113,223
114,223
115,223
116,223
117,223
118,223
119,223
120,231
121,231
122,231
123,231
124,231
125,231
126,228
127,242
128,242
129,242
130,242
131,242
132,241
133,241
134,248
135,248
136,248
137,248
138,248
139,119
140,119
141,122
