Days , Term 1 , Term 2 , Term 3 , Term 4 , Term 5 , Term 6 , Term 7 , Term 8 ,
0,1030,1046,1019,1062,1015,1018,1051,1049, 
1,1030,1046,1019,1062,1015,1018,1051,1049, 
2,1030,1046,1019,1062,1015,1018,1051,1048, 
3,1030,1045,1019,1061,1015,1018,1050,1048, 
4,1030,1045,1018,1061,1015,1018,1050,1048, 
5,1029,907,1018,908,1015,1017,1050,1048, 
6,911,907,903,908,1015,1017,1050,1048, 
7,911,907,903,908,1014,910,1050,1048, 
8,911,907,903,907,1014,910,918,914, 
9,911,907,903,830,1014,910,918,914, 
10,910,907,903,830,1014,910,918,914, 
11,910,907,903,830,921,909,918,914, 
12,805,906,902,830,921,909,918,913, 
13,805,833,841,830,921,857,918,821, 
14,805,832,841,830,921,857,918,821, 
15,804,832,841,830,920,857,917,821, 
16,804,832,841,829,920,857,917,821, 
17,804,770,841,829,806,857,917,821, 
18,779,770,840,760,806,856,917,821, 
19,779,770,840,760,806,856,917,820, 
20,778,770,840,760,806,856,854,766, 
21,778,770,840,760,806,759,854,766, 
22,778,769,840,760,806,759,854,766, 
23,778,769,763,760,805,759,854,766, 
24,708,769,763,759,805,759,854,766, 
25,708,705,763,759,805,758,853,766, 
26,708,705,763,759,784,758,853,765, 
27,708,705,762,759,784,758,773,765, 
28,708,705,762,759,784,709,773,765, 
29,708,705,705,702,784,709,773,765, 
30,707,704,705,702,783,708,773,709, 
31,707,704,705,702,701,708,773,709, 
32,707,704,704,701,701,708,772,709, 
33,707,674,687,701,701,683,772,709, 
34,678,674,687,701,701,683,704,708, 
35,678,674,687,673,701,683,704,708, 
36,678,674,687,673,701,683,704,708, 
37,678,674,687,673,700,683,703,708, 
38,678,673,686,673,700,683,703,690, 
39,678,673,686,672,700,683,703,690, 
40,678,599,686,672,700,683,682,690, 
41,678,599,686,672,700,682,682,690, 
42,678,599,623,672,687,682,682,690, 
43,677,599,623,587,687,682,682,689, 
44,608,599,623,587,687,682,682,689, 
45,608,599,623,587,686,592,681,689, 
46,608,598,623,587,686,592,589,592, 
47,608,598,622,587,591,592,589,592, 
48,608,598,622,587,591,592,589,592, 
49,608,598,622,586,590,591,589,592, 
50,608,598,622,586,590,591,588,592, 
51,608,598,622,586,590,591,588,591, 
52,608,583,577,571,565,559,553,547, 
53,608,583,577,571,565,559,553,547, 
54,608,583,577,571,565,559,553,547, 
55,607,583,577,571,565,559,553,547, 
56,607,583,577,571,565,559,553,547, 
57,607,582,577,571,564,559,553,547, 
58,607,582,577,571,564,559,553,547, 
59,607,582,577,570,564,559,553,547, 
60,607,582,576,570,564,559,553,547, 
61,607,582,576,570,564,558,553,547, 
62,606,582,576,570,564,558,553,547, 
63,606,582,576,570,564,558,553,547, 
64,606,582,575,570,564,558,553,546, 
65,606,582,575,570,564,558,552,546, 
66,606,582,575,570,564,558,552,546, 
67,606,581,575,570,564,557,551,546, 
68,605,581,575,570,564,557,551,546, 
69,605,581,575,570,563,557,551,546, 
70,605,581,575,570,563,557,551,546, 
71,605,581,575,570,563,557,551,545, 
72,604,581,575,569,563,557,551,545, 
73,604,581,575,569,563,556,551,545, 
74,604,580,575,569,563,556,551,545, 
75,604,580,574,569,563,556,551,545, 
76,604,580,574,569,563,556,551,545, 
77,604,580,574,569,563,556,550,545, 
78,604,580,574,569,563,556,550,544, 
79,604,580,574,569,563,556,550,544, 
80,604,580,574,568,562,556,550,544, 
81,603,580,574,568,562,556,550,544, 
82,603,580,574,568,562,556,550,544, 
83,603,580,574,568,562,555,550,544, 
84,603,580,574,568,562,555,549,544, 
85,603,579,574,568,562,555,549,544, 
86,603,579,573,567,561,555,549,544, 
87,603,579,573,567,561,554,549,543, 
88,603,579,573,567,561,554,549,543, 
89,603,579,573,567,561,554,549,543, 
90,603,579,573,567,561,554,549,543, 
91,603,579,573,567,560,554,548,543, 
92,603,578,573,567,560,554,548,543, 
93,603,578,573,567,560,554,548,543, 
94,603,578,573,567,560,554,548,543, 
95,602,578,572,567,560,554,548,543, 
96,602,578,572,567,560,554,548,543, 
97,602,578,572,567,560,554,548,542, 
98,602,578,572,566,559,554,548,542, 
99,602,578,572,566,559,553,548,542, 
100,602,578,572,566,559,553,548,542, 
101,602,578,572,566,559,553,548,542, 
102,602,578,572,566,559,553,548,541, 
103,602,578,572,566,559,553,548,541, 
104,584,578,571,565,559,553,547,541, 
105,584,578,571,565,559,553,547,541, 
106,584,577,571,565,559,553,547,541, 
107,583,577,571,565,559,553,547,541, 
108,583,577,571,565,559,553,547,541, 
109,583,577,571,565,559,553,547,541, 
110,583,577,571,565,559,553,547,541, 
111,583,577,571,565,559,553,547,541, 
