Days since start,"% not withdrawn(dynamic n)","% not withdrawn(static n)",n,"Withdrawals(dynamic n)","Withdrawals(static n)"
0,100%,100%,99,0,0,,Today,7/19/12
1,100%,100%,99,0,0,,New platform,3/12/12
2,100%,100%,99,0,0,,Days since new platform,129
3,99%,99%,95,1,1,,,
4,96%,96%,95,4,4,,,
5,96%,96%,95,4,4,,,
6,96%,96%,95,4,4,,,
7,96%,96%,95,4,4,,,
8,94%,94%,95,6,6,,,
9,94%,94%,95,6,6,,,
10,91%,92%,93,8,8,,,
11,91%,92%,93,8,8,,,
12,91%,92%,93,8,8,,,
13,91%,92%,93,8,8,,,
14,91%,92%,93,8,8,,,
15,91%,92%,93,8,8,,,
16,91%,92%,93,8,8,,,
17,91%,92%,90,8,8,,,
18,89%,90%,90,10,10,,,
19,87%,88%,90,12,12,,,
20,87%,88%,90,12,12,,,
21,87%,88%,90,12,12,,,
22,86%,87%,90,13,13,,,
23,86%,87%,90,13,13,,,
24,84%,87%,81,13,13,,,
25,84%,87%,81,13,13,,,
26,84%,87%,81,13,13,,,
27,84%,87%,81,13,13,,,
28,84%,87%,81,13,13,,,
29,84%,87%,81,13,13,,,
30,84%,87%,81,13,13,,,
31,83%,87%,78,13,13,,,
32,83%,87%,78,13,13,,,
33,83%,87%,78,13,13,,,
34,83%,87%,78,13,13,,,
35,82%,86%,78,14,14,,,
36,82%,86%,78,14,14,,,
37,82%,86%,78,14,14,,,
38,82%,86%,71,13,14,,,
39,82%,86%,71,13,14,,,
40,82%,86%,71,13,14,,,
41,82%,86%,71,13,14,,,
42,82%,86%,71,13,14,,,
43,82%,86%,71,13,14,,,
44,82%,86%,71,13,14,,,
45,85%,86%,66,10,14,,,
46,85%,86%,66,10,14,,,
47,85%,86%,66,10,14,,,
48,85%,86%,66,10,14,,,
49,83%,85%,66,11,15,,,
50,83%,85%,66,11,15,,,
51,83%,85%,66,11,15,,,
52,84%,85%,64,10,15,,,
53,84%,85%,64,10,15,,,
54,84%,85%,64,10,15,,,
55,83%,84%,64,11,16,,,
56,83%,84%,64,11,16,,,
57,83%,84%,64,11,16,,,
58,78%,81%,63,14,19,,,
59,78%,81%,60,13,19,,,
60,78%,81%,60,13,19,,,
61,78%,81%,60,13,19,,,
62,78%,81%,60,13,19,,,
63,78%,81%,58,13,19,,,
64,75%,80%,57,14,20,,,
65,75%,80%,57,14,20,,,
66,74%,80%,54,14,20,,,
67,74%,80%,54,14,20,,,
68,75%,80%,53,13,20,,,
69,75%,80%,52,13,20,,,
70,73%,79%,52,14,21,,,
71,73%,79%,52,14,21,,,
72,73%,79%,52,14,21,,,
73,76%,79%,49,12,21,,,
74,76%,79%,49,12,21,,,
75,71%,77%,49,14,23,,,
76,71%,77%,48,14,23,,,
77,70%,77%,47,14,23,,,
78,70%,77%,46,14,23,,,
79,70%,77%,46,14,23,,,
80,70%,77%,44,13,23,,,
81,70%,77%,44,13,23,,,
82,72%,77%,43,12,23,,,
83,72%,77%,43,12,23,,,
84,71%,77%,42,12,23,,,
85,72%,76%,39,11,24,,,
86,71%,76%,38,11,24,,,
87,71%,76%,38,11,24,,,
88,70%,76%,37,11,24,,,
89,70%,76%,37,11,24,,,
90,69%,76%,36,11,24,,,
91,69%,76%,36,11,24,,,
92,69%,76%,36,11,24,,,
93,69%,76%,35,11,24,,,
94,69%,76%,32,10,24,,,
95,68%,76%,31,10,24,,,
96,67%,76%,30,10,24,,,
97,68%,76%,28,9,24,,,
98,65%,76%,26,9,24,,,
99,70%,76%,23,7,24,,,
100,68%,76%,22,7,24,,,
101,68%,76%,22,7,24,,,
102,68%,76%,22,7,24,,,
103,68%,76%,22,7,24,,,
104,68%,76%,22,7,24,,,
105,68%,76%,22,7,24,,,
106,67%,76%,21,7,24,,,
107,67%,76%,21,7,24,,,
108,71%,76%,17,5,24,,,
109,71%,76%,17,5,24,,,
110,67%,76%,15,5,24,,,
111,67%,76%,15,5,24,,,
112,67%,76%,15,5,24,,,
113,67%,76%,15,5,24,,,
114,69%,76%,13,4,24,,,
115,82%,76%,11,2,24,,,
116,82%,76%,11,2,24,,,
117,80%,76%,10,2,24,,,
118,78%,76%,9,2,24,,,
119,75%,76%,8,2,24,,,
120,71%,76%,7,2,24,,,
121,71%,76%,7,2,24,,,
122,83%,76%,6,1,24,,,
123,83%,76%,6,1,24,,,
124,83%,76%,6,1,24,,,
125,80%,76%,5,1,24,,,
126,80%,76%,5,1,24,,,
127,67%,76%,3,1,24,,,
128,50%,76%,2,1,24,,,
